"Date","Android","iOS","SymbianOS","Series 40","Windows","Nokia Unknown","Unknown","Samsung","MeeGo","BlackBerry OS","Linux","bada","Sony Ericsson","Other"
2012,37.98,25.88,25.11,8.06,0.08,0,0.7,0.29,0.73,0.34,0.12,0.4,0.18,0.11
2013,55.05,27.23,10.75,4.95,0.39,0.02,0.5,0.19,0.35,0.17,0.12,0.18,0.06,0.04
2014,70.47,23.45,2.75,2.2,0.47,0.08,0.14,0.07,0.11,0.11,0.03,0.06,0.02,0.02
2015,71.62,26.27,0.73,0.47,0.42,0.24,0.08,0.01,0.03,0.07,0.03,0.01,0.01,0.01
2016,74.5,24.44,0.31,0.1,0.31,0.18,0.05,0.01,0.01,0.04,0.04,0,0,0.01
2017,75.11,24.3,0.16,0.05,0.16,0.1,0.06,0.02,0.01,0.02,0.02,0,0,0
2018,78.68,20.99,0.08,0.02,0.07,0.04,0.04,0.02,0.01,0.01,0.01,0,0,0
2019,79.75,20.08,0.03,0.01,0.04,0.02,0.01,0.03,0.01,0.01,0.01,0,0,0
2020,81.39,18.47,0,0,0.02,0.01,0.02,0.08,0,0,0.01,0,0,0
2021,79.31,20.5,0,0,0.01,0,0.02,0.16,0,0,0,0,0,0
2022,75.87,23.94,0,0,0,0,0.01,0.17,0,0,0,0,0,0
2023,72.48,27.31,0,0,0.01,0,0.01,0.18,0,0,0.01,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
