"Date","iOS","Android","Windows","Samsung","SymbianOS","Nintendo 3DS","MeeGo","Sailfish","Unknown","Series 40","OS X","Other"
2012,69.17,25.06,2.72,0.01,1.85,0.1,0.21,0,0.04,0.03,0.58,0.23
2013,70.78,23.14,5,0,0.46,0.37,0.08,0,0.02,0.09,0.01,0.06
2014,62.26,31.94,5.68,0.01,0.03,0,0.01,0.03,0.01,0.02,0,0.02
2015,67.29,28.7,3.88,0,0.04,0.01,0.02,0.04,0,0.01,0,0.03
2016,67.96,29.6,2.37,0.01,0,0,0,0.01,0.02,0,0,0.02
2017,67.11,31.59,1.2,0.08,0,0,0,0,0,0,0,0.02
2018,66.88,32.35,0.53,0.23,0,0,0,0,0,0,0,0.01
2019,60.53,39.15,0.14,0.12,0,0,0,0,0.05,0,0,0
2020,44.77,55.08,0.03,0.07,0,0,0,0,0.04,0,0,0.01
2021,50.85,48.69,0,0.45,0,0,0,0,0.01,0,0,0
2022,41.39,58.07,0.02,0.53,0,0,0,0,0,0,0,0
2023,37.73,62,0.02,0.25,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0
