"Date","Android","Unknown","Series 40","Nokia Unknown","iOS","Linux","Windows","Samsung","Motorola","SymbianOS","LG","BlackBerry OS","Sony Ericsson","KaiOS","bada","Other"
2012,13.6,51.31,19.45,0,3.86,0.14,0.54,1.19,1.95,5.77,0.03,0.6,1.38,0,0.11,0.08
2013,31.2,32.99,22.96,0.06,1.97,0.88,0.56,2.14,2.83,2.05,1.21,0.61,0.45,0,0.06,0.02
2014,56.95,23,13.18,0.34,1.7,0.9,0.86,1.05,0.69,0.47,0.47,0.18,0.19,0,0.01,0
2015,61.2,25.11,2.65,5,2.12,0.99,1.39,0.44,0.08,0.17,0.35,0.21,0.27,0,0.01,0.01
2016,47.14,38.85,1.05,8,1.4,2.21,0.75,0.09,0.02,0.09,0.16,0.14,0.07,0,0,0.01
2017,20.41,73.83,1.21,2.72,0.74,0.75,0.11,0.02,0,0.03,0.1,0.07,0.01,0,0,0.01
2018,84.35,8.79,3.06,0.22,2.26,0.16,0.61,0.16,0,0.26,0.04,0.02,0.05,0,0,0.02
2019,92.81,0.77,0.89,0.05,4.53,0.13,0.31,0.1,0,0.27,0.1,0.01,0.01,0,0,0.01
2020,94.02,0.09,0.05,0.02,5.19,0.06,0.13,0.03,0,0.18,0.03,0.01,0,0.18,0,0.01
2021,94.5,0.31,0.03,0.01,4.44,0.03,0.02,0.23,0,0,0.01,0,0,0.41,0,0
2022,96.82,0.02,0.03,0,2.88,0.01,0.01,0.17,0,0.01,0,0,0,0.06,0,0
2023,95.28,0.13,0.04,0,4.19,0.01,0,0.09,0,0.02,0,0,0.2,0.04,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
