"Date","Android","iOS","Windows","Series 40","SymbianOS","Unknown","Samsung","BlackBerry OS","Nokia Unknown","Linux","LG","Sony Ericsson","bada","Other"
2012,11.88,46.51,0.96,22.61,12.14,3.61,0.92,0.44,0,0.07,0.04,0.47,0.14,0.23
2013,18.2,50.62,2.17,16.43,7.11,3.28,0.77,0.41,0.04,0.2,0.18,0.32,0.11,0.16
2014,29.63,50.85,7.54,6.42,2.31,1.28,0.37,0.56,0.4,0.23,0.23,0.07,0.05,0.07
2015,40.93,37,12.23,4.84,1.26,1.22,0.23,0.7,1.26,0.09,0.15,0.03,0.03,0.04
2016,46.38,43.89,6.25,0.98,0.28,0.6,0.14,0.76,0.61,0.04,0.03,0.01,0.01,0.02
2017,52.77,41.58,3.39,0.42,0.16,0.67,0.15,0.43,0.36,0.02,0.01,0,0,0.01
2018,54.96,41.55,1.98,0.21,0.08,0.44,0.14,0.44,0.16,0.01,0.01,0,0,0.02
2019,56.63,41.7,0.96,0.11,0.05,0.05,0.23,0.1,0.12,0.02,0,0,0,0.05
2020,61.09,37.87,0.58,0.01,0.01,0.02,0.27,0.06,0.03,0.01,0,0,0,0.04
2021,64.53,34.85,0.07,0,0.01,0.01,0.47,0.03,0.01,0.01,0,0,0,0.01
2022,70.25,29.34,0.01,0,0,0.01,0.38,0,0,0,0,0,0,0.01
2023,65.48,34.17,0,0,0,0.01,0.32,0,0.01,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
