"Date","Android","iOS","Unknown","Playstation","Windows","Series 40","Nintendo 3DS","Linux","BlackBerry OS","Samsung","LG","Nintendo","Nokia Unknown","SymbianOS","Motorola","bada","Other"
2012,22.32,52.45,1.61,0.68,0.42,3.03,0.14,0.11,0.47,11.05,0.01,4.23,0,1.8,0.01,1.48,0.21
2013,25.02,53.1,12.07,0.4,0.45,2,0.13,0.5,2.87,1.87,0.27,0.17,0.01,0.85,0.01,0.02,0.24
2014,26.1,39.93,27.23,0.23,0.29,2.13,1.68,1.31,0.34,0.2,0.2,0.14,0.07,0.15,0,0,0.01
2015,48.8,41.07,1.46,0.54,0.99,0.73,1.97,1.62,0.84,0.09,0.09,0.99,0.57,0.11,0.14,0,0.01
2016,61.1,33.02,0.91,0.38,1.71,0.34,0.03,0.25,0.58,0.24,0.98,0,0.42,0.05,0,0,0
2017,69.28,28.84,1,0.04,0.47,0.01,0,0.08,0.02,0.03,0.04,0,0.18,0.01,0,0,0
2018,73.92,19.15,1.32,5.37,0.19,0.01,0,0.01,0,0,0,0,0,0.01,0,0,0
2019,82.5,17.32,0.02,0.08,0.05,0,0,0,0,0,0,0,0,0,0,0,0
2020,82.51,17.43,0,0.01,0.02,0,0,0,0,0.01,0,0,0,0,0,0,0
2021,75.01,24.65,0.01,0,0.19,0,0,0,0,0.13,0,0,0,0,0,0,0.01
2022,74.82,24.75,0,0,0.3,0,0,0,0,0.12,0,0,0,0,0,0,0
2023,75.22,24.74,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
