"Date","Android","iOS","Series 40","SymbianOS","Windows","Unknown","Nokia Unknown","Samsung","LG","Linux","BlackBerry OS","bada","Sony Ericsson","Playstation","Firefox OS","Tizen","MeeGo","Other"
2012,21.83,22.18,14.18,30.25,0.93,4.05,0,2.53,0.17,0.15,0.66,1.38,0.86,0.31,0,0,0.17,0.36
2013,32.64,18.92,19.16,14.91,1.66,5.49,0.12,2.64,1.59,0.29,0.63,0.64,0.69,0.43,0,0,0.09,0.1
2014,53.64,18.33,11.43,5.84,3.12,2.32,0.64,1.3,1.67,0.27,0.6,0.37,0.26,0.16,0,0,0.04,0.01
2015,68.77,13.75,5.28,2.23,3.02,0.98,2.48,0.63,0.95,1,0.41,0.16,0.1,0.13,0.1,0,0.02,0.01
2016,77.65,10.61,2.7,0.79,2.36,1.49,2.03,0.46,0.44,0.65,0.26,0.12,0.13,0.05,0.24,0.01,0.01,0
2017,83.11,10.64,0.86,0.21,1.34,2.06,0.7,0.27,0.15,0.15,0.16,0.02,0.01,0.05,0.11,0.17,0,0
2018,84.96,12.26,0.32,0.06,0.67,0.82,0.18,0.24,0.07,0.13,0.06,0.04,0,0.02,0.04,0.13,0,0
2019,86.28,12.87,0.17,0.02,0.25,0.08,0.1,0.14,0,0.04,0.01,0,0,0.01,0.01,0.01,0,0
2020,88.64,10.89,0.08,0,0.07,0.05,0.07,0.17,0,0.01,0.01,0,0.01,0,0,0,0,0
2021,89.02,10.29,0.01,0.01,0.01,0.03,0.03,0.59,0,0.01,0,0,0,0,0,0,0,0
2022,86.22,13.28,0,0,0,0.01,0.01,0.47,0,0,0,0,0,0,0,0,0,0
2023,83.9,15.55,0,0,0,0.01,0.01,0.52,0,0,0,0,0,0.01,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
