"Date","Android","iOS","Playstation","Windows","Linux","BlackBerry OS","Samsung","Unknown","Firefox OS","KaiOS","SymbianOS","Sony Ericsson","Other"
2012,7.07,71.02,1.06,0,0,9.19,0,11.66,0,0,0,0,0
2013,11.07,74.69,0,0.08,6.27,4.33,0,1.7,0,0,1.32,0.54,0
2014,32.74,57.16,0.05,0.55,3.62,5.86,0,0,0,0,0.02,0,0
2015,44.79,47.12,0.02,2.3,4.03,1.62,0,0.09,0,0,0,0,0.03
2016,47.31,30.98,0.02,20.6,0.38,0.49,0,0,0.23,0,0,0,0
2017,62.02,19.38,0,15.5,0,0,0,0,3.1,0,0,0,0
2018,69.2,29.96,0,0.61,0,0,0,0,0,0,0,0,0.23
2019,80.17,19.33,0,0.48,0,0.02,0,0,0,0,0,0,0
2020,89.12,10.88,0,0,0,0,0,0,0,0,0,0,0
2021,86.67,12.71,0,0,0,0,0.62,0,0,0,0,0,0
2022,81.58,18.42,0,0,0,0,0,0,0,0,0,0,0
2023,85.46,5.91,7.83,0,0,0,0.71,0,0,0.09,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0
