"Date","Android","iOS","Series 40","SymbianOS","Windows","Nokia Unknown","Unknown","Samsung","BlackBerry OS","Linux","Sony Ericsson","LG","bada","Other"
2012,19.64,15.97,25.13,30.81,0.22,0,3.47,2.21,1.48,0.12,0.41,0.04,0.3,0.19
2013,33.91,16.13,25.69,15.02,0.61,0.07,3.36,2.83,1.36,0.17,0.39,0.18,0.18,0.1
2014,64.95,12.9,13.37,4.05,1.02,0.3,1.1,1.22,0.68,0.11,0.07,0.09,0.07,0.06
2015,79.18,10.15,5.2,1.22,1.52,1.32,0.51,0.42,0.27,0.13,0.02,0.03,0.02,0.02
2016,82.67,10.9,2.14,0.48,1.62,1.33,0.35,0.23,0.11,0.11,0,0.01,0.01,0.03
2017,85.1,12.27,0.7,0.21,0.73,0.53,0.22,0.11,0.05,0.04,0,0,0,0.02
2018,86.08,12.31,0.35,0.11,0.55,0.28,0.18,0.07,0.03,0.02,0,0,0,0.02
2019,84.87,14.34,0.13,0.03,0.38,0.11,0.03,0.07,0.01,0.01,0,0,0,0.01
2020,87.48,12.27,0.02,0,0.11,0.02,0.01,0.07,0,0,0,0,0,0
2021,76.04,23.79,0,0,0.01,0,0.01,0.14,0,0,0,0,0,0.01
2022,85.75,14.02,0,0,0.01,0,0,0.2,0,0,0,0,0,0.01
2023,90.14,9.62,0,0,0.01,0,0,0.22,0,0,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
