"Date","Windows","OS X","iOS","Linux","Chrome OS","Unknown","Nintendo","Playstation","Android","Other"
2009,87.32,5.9,0,6.71,0,0.04,0,0.02,0,0
2010,85.72,12.66,0.57,0.68,0,0.05,0.02,0.31,0,0
2011,80.47,15.45,2.63,0.44,0,0.06,0.63,0.23,0.07,0.01
2012,75.91,17.51,5.29,0.61,0.01,0.04,0.3,0.08,0.21,0.03
2013,80.67,18.23,0,0.63,0.05,0.13,0,0,0.3,0
2014,77.99,20.53,0,0.77,0.46,0.15,0,0,0.09,0
2015,77.75,20.18,0,0.89,0.84,0.34,0,0,0,0
2016,73.52,23.48,0,0.83,0.84,1.32,0,0,0,0.01
2017,72.14,24.34,0,0.78,0.66,2.07,0,0,0,0.01
2018,70.49,25.13,0,1.51,1.61,1.25,0,0,0,0.01
2019,69.78,26.46,0,0.73,1.92,1.1,0,0,0,0
2020,60.5,36.62,0,0.8,1.31,0.77,0,0,0,0
2021,59.1,38.06,0,0.34,1.43,1.07,0,0,0,0
2022,59.67,36.59,0,0.34,2.5,0.89,0,0,0,0
2023,56.29,38.42,0,0.84,2.57,1.88,0,0,0,0.01
