"Date","Windows","Unknown","OS X","Linux","iOS","Chrome OS","Android","SunOS","Other"
2009,95.37,0.13,2.94,1.52,0,0,0,0.04,0
2010,94.13,0.06,4.17,1.54,0.07,0,0,0.03,0
2011,92.77,0.07,4.86,1.61,0.51,0,0.14,0.03,0.01
2012,92.96,0.09,4.35,1.42,0.85,0,0.23,0.08,0.02
2013,93.57,0.27,4.42,1.4,0,0.01,0.31,0.02,0
2014,92.84,0.89,4.54,1.57,0,0.04,0.11,0.01,0
2015,85.93,6.79,5.67,1.47,0,0.13,0,0,0
2016,78.35,13.67,6.47,1.35,0,0.16,0,0,0
2017,81.87,8.09,8.61,1.27,0,0.16,0,0,0
2018,78.04,9.01,11.48,1.27,0,0.2,0,0,0
2019,73.76,10.85,14.1,1.18,0,0.11,0,0,0
2020,77.2,7.56,13.53,1.52,0,0.18,0,0,0.01
2021,64.27,28.42,5.53,1.59,0,0.19,0,0,0.01
2022,68.94,22.9,5.55,2.18,0,0.4,0,0,0.03
2023,65.03,27.2,5.19,2.31,0,0.26,0,0,0.01
