"Date","Android","iOS","Unknown","Series 40","Samsung","SymbianOS","Windows","Sony Ericsson","Nokia Unknown","BlackBerry OS","Linux","bada","Playstation","Other"
2012,49.87,25.57,1.28,5.43,2.5,8.28,0.53,4.87,0,1,0.1,0.27,0.15,0.15
2013,61.46,22.86,1.04,4.96,2.04,3.66,0.73,1.77,0.04,0.91,0.21,0.16,0.09,0.06
2014,70.39,21.57,0.87,2.45,0.99,1.21,0.93,0.52,0.15,0.57,0.22,0.06,0.05,0.02
2015,75.52,18.15,2.06,1.02,0.37,0.38,0.78,0.12,0.81,0.39,0.34,0.02,0.03,0.01
2016,77.75,15.66,3.2,0.62,0.29,0.21,0.52,0.09,1.02,0.21,0.39,0.01,0.02,0.01
2017,79.93,15.92,2.71,0.23,0.14,0.09,0.24,0.03,0.48,0.07,0.13,0,0.01,0.01
2018,78.91,19.37,1.17,0.09,0.19,0.04,0.11,0.01,0.05,0.02,0.03,0,0.01,0.01
2019,76.88,22.54,0.08,0.02,0.37,0.01,0.05,0,0.02,0.01,0.01,0,0,0
2020,75.79,23.25,0.03,0,0.9,0,0.02,0,0.01,0,0,0,0,0
2021,72.56,26.07,0.02,0,1.33,0,0.01,0,0.01,0,0,0,0,0
2022,69.36,29.21,0.01,0,1.4,0,0.01,0,0,0,0,0,0,0
2023,65.6,32.87,0.06,0,1.45,0,0.01,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
