"Date","Android","iOS","Windows","SymbianOS","Series 40","Unknown","Samsung","Sony Ericsson","Linux","Nokia Unknown","bada","LG","BlackBerry OS","Other"
2012,41.87,14.66,1.5,16.51,7.94,7.9,4.8,3.08,0.81,0,0.51,0.23,0.08,0.1
2013,55.78,17.14,2.12,7.54,6.04,5.34,3.11,1.58,0.62,0.01,0.32,0.26,0.09,0.05
2014,63.68,24.97,4,1.73,2.02,1.46,0.8,0.46,0.34,0.17,0.17,0.1,0.07,0.04
2015,72.58,19.03,3.85,0.68,1.03,1.08,0.44,0.15,0.45,0.44,0.11,0.05,0.08,0.03
2016,76.39,17.99,3.09,0.27,0.65,0.61,0.35,0.03,0.2,0.24,0.06,0.03,0.06,0.03
2017,80.23,16.31,2.07,0.12,0.32,0.24,0.29,0.01,0.05,0.23,0.02,0.02,0.05,0.02
2018,82.16,15.73,1.07,0.07,0.11,0.35,0.32,0,0.02,0.09,0.01,0.01,0.02,0.01
2019,83.43,15.55,0.43,0.04,0.06,0.17,0.17,0.05,0.01,0.05,0,0,0.02,0.01
2020,83.95,15.53,0.21,0.02,0.02,0.04,0.16,0,0.02,0.01,0,0,0.03,0.01
2021,81.91,17.75,0.04,0,0.01,0.07,0.18,0,0.01,0.03,0,0,0,0
2022,72.9,26.86,0.02,0,0.01,0.01,0.16,0,0.02,0.01,0,0,0,0.01
2023,62.68,37.15,0.01,0,0.01,0.01,0.11,0,0.02,0.01,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
