"Date","Android","iOS","Windows","Samsung","Unknown","BlackBerry OS","SymbianOS","Series 40","Linux","Nokia Unknown","bada","Playstation","Nintendo 3DS","Sony Ericsson","Other"
2012,46.32,48.14,1.89,0.2,0.31,0.32,1.21,0.46,0.18,0,0.41,0.14,0.17,0.11,0.15
2013,49,46.99,1.67,0.12,0.38,0.25,0.54,0.48,0.17,0,0.15,0.06,0.06,0.05,0.08
2014,58.55,39.09,1.39,0.03,0.13,0.21,0.13,0.15,0.16,0,0.03,0.03,0.01,0.04,0.03
2015,56.2,40.88,2.06,0.07,0.04,0.26,0.06,0.09,0.2,0.03,0.02,0.05,0.02,0,0.02
2016,58.66,38.25,1.71,0.37,0.39,0.21,0.06,0.05,0.13,0.12,0,0.02,0.01,0,0.02
2017,60.93,36,0.94,0.38,1.39,0.09,0.03,0.02,0.02,0.16,0,0.01,0,0,0.02
2018,62.66,35.91,0.45,0.39,0.49,0.03,0.01,0.02,0.01,0.01,0,0.01,0,0,0.01
2019,65.66,33.63,0.19,0.46,0.01,0.02,0,0,0.02,0.01,0,0,0,0,0
2020,66.32,33.1,0.04,0.51,0.01,0.01,0,0,0.01,0,0,0,0,0,0
2021,61.81,37.32,0.02,0.83,0.01,0,0,0,0,0,0,0,0,0,0.01
2022,59.63,39.47,0.03,0.84,0.01,0,0,0,0,0,0,0,0,0,0
2023,56.47,42.55,0.03,0.93,0.01,0,0,0,0.01,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
