"Date","Windows","OS X","Linux","Unknown","iOS","Android","Other"
2009,98.58,0.6,0.7,0.11,0,0,0.01
2010,98.24,0.88,0.78,0.05,0.03,0,0.01
2011,97.71,1.07,0.96,0.04,0.19,0.03,0.01
2012,97.07,1.35,1.14,0.03,0.29,0.1,0.01
2013,97.08,1.46,1.26,0.01,0,0.19,0
2014,96.28,1.7,1.6,0.33,0,0.08,0.01
2015,95.73,1.77,1.75,0.73,0,0,0.02
2016,94.19,1.75,1.65,2.38,0,0,0.04
2017,94.22,2.29,1.8,1.64,0,0,0.05
2018,90.8,2.7,1.82,4.62,0,0,0.06
2019,88.63,3.87,1.88,5.56,0,0,0.06
2020,90.08,4.62,1.89,3.34,0,0,0.08
2021,89.8,3.73,1.95,4.43,0,0,0.1
2022,88.58,4.29,2.38,4.58,0,0,0.17
2023,83.82,4,2.81,9.21,0,0,0.16
