"Date","Android","iOS","Windows","Series 40","Unknown","SymbianOS","LG","Samsung","Nokia Unknown","Linux","BlackBerry OS","MeeGo","Playstation","Sony Ericsson","Other"
2012,17,77.42,0.97,0.84,0.4,1.41,0,1.1,0,0.02,0.21,0,0,0.15,0.48
2013,35.34,43.26,7.29,5.68,1.32,2.48,0.01,0.15,0.02,3.16,1.18,0,0.03,0.07,0.01
2014,48.77,26.29,6.28,7.36,2.76,5.35,0.42,1.58,0.24,0.51,0.22,0.02,0.04,0.09,0.08
2015,51.68,27.21,10.01,4.59,2.43,0.42,0.64,0.53,1.95,0.21,0.05,0.2,0.02,0.04,0.03
2016,57.48,27.03,6.16,2.04,1.39,0.19,4.17,0.3,0.94,0.17,0.04,0.03,0.07,0,0
2017,69.43,27.59,1.83,0.34,0.35,0.02,0.01,0.17,0.12,0.05,0.05,0,0.03,0,0
2018,70.43,24.58,0.43,0.01,4.39,0,0,0.01,0.06,0.05,0,0,0.01,0,0
2019,81.25,18.11,0.23,0,0.4,0,0,0.01,0,0,0,0,0,0,0
2020,85.66,14.23,0.02,0.01,0.05,0,0,0.03,0,0,0,0,0.01,0,0
2021,82.31,17.6,0,0,0.01,0,0,0.07,0,0,0,0,0.01,0,0
2022,78.99,20.56,0.01,0,0.02,0,0,0.41,0,0,0,0,0,0,0
2023,77.59,22.25,0,0,0,0,0,0.16,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
