"Date","Windows","OS X","Unknown","Linux","iOS","Android","Other"
2009,99.64,0.26,0.03,0.07,0,0,0
2010,99.41,0.42,0.03,0.09,0.05,0,0
2011,98.86,0.55,0.04,0.1,0.42,0.02,0
2012,97.97,1.12,0.07,0.19,0.52,0.12,0.01
2013,98.22,1.16,0.03,0.35,0,0.23,0.01
2014,97.52,1.42,0.66,0.31,0,0.07,0.01
2015,96.43,1.79,1.45,0.32,0,0,0.01
2016,91.9,2.55,4.95,0.55,0,0,0.05
2017,92.04,3.95,3.34,0.64,0,0,0.02
2018,89.85,6.39,3.04,0.68,0,0,0.03
2019,87.86,7.3,4.01,0.81,0,0,0.01
2020,87.09,7.79,4.32,0.79,0,0,0.01
2021,84.57,5.38,9.55,0.49,0,0,0.01
2022,85.19,5.8,8.24,0.77,0,0,0
2023,80.85,5.88,11.4,1.87,0,0,0.01
