"Date","Windows","Unknown","OS X","Linux","Chrome OS","iOS","Android","Other"
2009,94.04,0.23,0.61,5.11,0,0,0,0
2010,98.18,0.03,0.59,1.18,0,0,0,0
2011,97.04,0.02,1.02,1.76,0,0.15,0.01,0
2012,96.92,0.08,1.01,1.72,0,0.24,0.04,0
2013,97.38,0.05,1.1,1.38,0,0,0.07,0
2014,96.95,0.17,1.43,1.35,0.09,0,0.01,0
2015,89.34,0.91,5.14,4.52,0.06,0,0,0.02
2016,90.33,3.61,2.79,3.18,0.06,0,0,0.03
2017,89.07,4.87,3.71,2.31,0.05,0,0,0
2018,84.71,11.68,2.6,0.92,0.09,0,0,0
2019,76.07,19.34,3.96,0.58,0.04,0,0,0
2020,75.96,9.43,13.76,0.69,0.16,0,0,0
2021,83.89,11.46,3.82,0.35,0.48,0,0,0
2022,86.02,11.44,1.43,0.43,0.68,0,0,0
2023,62.02,31.36,5.31,0.89,0.42,0,0,0
