"Date","Android","iOS","Windows","Unknown","Series 40","SymbianOS","Samsung","BlackBerry OS","Sony Ericsson","LG","Linux","Nokia Unknown","bada","Firefox OS","Other"
2012,45.04,29.47,0.77,7.64,4.37,7.9,1.62,0.78,1.62,0.05,0.2,0,0.29,0,0.26
2013,53.1,27.36,1.09,5.67,4.51,4.44,1.39,0.49,0.98,0.46,0.17,0,0.23,0,0.1
2014,66.24,26.02,1.77,1.64,1.5,1.06,0.59,0.3,0.25,0.29,0.12,0.02,0.1,0.04,0.04
2015,75.87,19.34,1.86,0.65,0.85,0.32,0.29,0.16,0.07,0.15,0.09,0.13,0.05,0.14,0.02
2016,78.7,17.65,2.12,0.32,0.29,0.14,0.27,0.15,0.02,0.11,0.04,0.13,0.02,0.05,0.01
2017,80.44,17.57,1.45,0.09,0.04,0.03,0.18,0.08,0,0.04,0.03,0.03,0.01,0,0
2018,82.5,16.32,0.63,0.1,0.04,0.01,0.24,0.03,0,0.07,0.04,0.02,0,0,0
2019,84.48,14.88,0.3,0.05,0.03,0,0.18,0.02,0,0,0.02,0.01,0,0,0
2020,84.07,15.64,0.07,0.01,0,0,0.16,0.01,0,0,0.01,0,0,0,0
2021,79.94,19.74,0.03,0.01,0,0,0.25,0.01,0,0,0,0,0,0,0
2022,77.51,22.18,0.01,0,0,0,0.29,0,0,0,0,0,0,0,0
2023,76.43,23.08,0.03,0,0,0,0.44,0.01,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
