"Date","Windows","Unknown","OS X","Linux","Chrome OS","SunOS","iOS","Android","Other"
2009,93.26,0.24,1.47,1.67,0,3.35,0,0,0.01
2010,94.53,0.11,2.61,2.1,0,0.61,0.05,0,0.01
2011,94.04,0.08,3.04,2.23,0,0.15,0.36,0.1,0.01
2012,93.61,0.1,3.52,1.9,0,0.02,0.63,0.19,0.02
2013,93.77,0.11,4.04,1.8,0.01,0.04,0,0.22,0
2014,93.59,0.44,4.14,1.63,0.05,0.09,0,0.06,0
2015,92.28,1.45,4.31,1.82,0.09,0.04,0,0,0.01
2016,88.46,5.18,4.45,1.74,0.16,0,0,0,0.01
2017,87.89,4.02,6.15,1.74,0.21,0,0,0,0
2018,82.08,7.15,8.9,1.69,0.18,0,0,0,0
2019,77.25,11.09,10.03,1.47,0.16,0,0,0,0
2020,79.07,7.73,10.98,1.96,0.26,0,0,0,0
2021,71.35,20.76,4.59,2.84,0.45,0,0,0,0
2022,69.03,24.01,4.5,2.01,0.43,0,0,0,0.02
2023,60.01,33.75,3.99,1.68,0.56,0,0,0,0.01
