"Date","Android","iOS","Windows","Unknown","Samsung","SymbianOS","Series 40","Nokia Unknown","BlackBerry OS","Linux","Sony Ericsson","LG","bada","Other"
2012,51.83,26.82,2.42,3.25,3.37,6.33,3.39,0,0.34,0.52,1.13,0.1,0.27,0.23
2013,58,27.9,3.51,2.12,1.68,3.46,1.83,0.01,0.29,0.33,0.38,0.25,0.15,0.09
2014,66.05,24.7,5.04,0.8,0.55,1.1,0.78,0.03,0.37,0.19,0.11,0.15,0.06,0.07
2015,68.04,23.16,6.28,0.32,0.23,0.51,0.46,0.13,0.41,0.25,0.05,0.09,0.02,0.04
2016,71.23,21.66,5.67,0.23,0.23,0.17,0.22,0.15,0.24,0.12,0.02,0.03,0.02,0.02
2017,77.18,15.52,2.37,2.43,0.39,0.29,0.73,0.87,0.1,0.05,0.01,0.03,0,0.02
2018,77.64,16.7,1.14,2.75,0.54,0.21,0.47,0.43,0.05,0.04,0.01,0.02,0,0.01
2019,76.56,21.51,0.52,0.02,1.21,0.01,0.01,0.03,0.03,0.02,0,0,0.09,0
2020,78.96,20.09,0.12,0.01,0.78,0,0.01,0.01,0.01,0.01,0,0,0,0
2021,77.8,21.31,0.05,0.01,0.82,0,0,0.01,0.01,0,0,0,0,0
2022,77.92,21.36,0.03,0,0.67,0,0,0,0,0,0,0,0,0
2023,80.32,18.95,0.02,0,0.69,0,0,0,0,0.01,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
