"Date","Windows","OS X","Chrome OS","Unknown","iOS","Linux","Playstation","Android","","Nintendo","BlackBerry OS","Other"
2009,93.16,6.08,0,0.2,0,0.21,0.33,0,0,0.02,0,0
2010,90.78,8.16,0,0.21,0.22,0.3,0.3,0,0,0.02,0,0
2011,86.84,10.22,0,0.2,1.82,0.38,0.35,0.13,0,0.04,0.01,0.01
2012,84.64,11.09,0,0.08,3.02,0.27,0.2,0.31,0.16,0.08,0.11,0.03
2013,85.04,14.07,0.09,0.1,0,0.48,0,0.22,0,0,0,0
2014,84.83,13.45,0.56,0.36,0,0.68,0,0.12,0,0,0,0
2015,83.15,14.16,0.84,0.9,0,0.93,0,0,0,0,0,0.02
2016,79.37,15.86,1.31,2.73,0,0.7,0,0,0,0,0,0.02
2017,82.32,14.61,1.68,0.95,0,0.44,0,0,0,0,0,0
2018,79.72,14.17,1.67,3.82,0,0.62,0,0,0,0,0,0
2019,75.35,17,2.11,4.89,0,0.65,0,0,0,0,0,0
2020,69.37,26.46,2.47,1.19,0,0.5,0,0,0,0,0,0
2021,63.36,26.18,7.77,2.25,0,0.43,0,0,0,0,0,0
2022,62.38,24.78,8.61,3.72,0,0.5,0,0,0,0,0,0
2023,58.9,30.28,6.94,3.19,0,0.7,0,0,0,0,0,0
