"Date","Windows","OS X","Unknown","Linux","iOS","Chrome OS","Android","Other"
2009,96.27,2.72,0.37,0.65,0,0,0,0
2010,96,3.27,0.07,0.57,0.09,0,0,0.01
2011,95.05,3.95,0.1,0.33,0.54,0,0.03,0.01
2012,93.92,4.51,0.04,0.33,1.06,0,0.13,0.02
2013,94.54,4.55,0.02,0.48,0,0.02,0.39,0
2014,93.11,5.08,1.16,0.47,0,0.05,0.14,0
2015,85.12,7.91,5.66,1.22,0,0.08,0,0.01
2016,77.9,6.54,14.95,0.48,0,0.12,0,0
2017,81.09,12.06,6.13,0.56,0,0.16,0,0
2018,77.53,13.03,8.2,1.04,0,0.2,0,0
2019,73.22,14.91,11.01,0.6,0,0.26,0,0
2020,81.69,13.4,4.13,0.37,0,0.42,0,0
2021,83.61,5.21,9.77,0.76,0,0.63,0,0.02
2022,81.74,6.81,9.49,0.95,0,1,0,0.01
2023,70.67,8.08,18.68,1.21,0,1.36,0,0.01
