"Date","Android","iOS","Windows","SymbianOS","Series 40","Samsung","BlackBerry OS","Linux","Unknown","Sony Ericsson","LG","bada","Nokia Unknown","Playstation","MeeGo","Other"
2012,48.32,42.21,1.09,4.04,1.68,0.35,0.62,0.37,0.2,0.49,0.01,0.21,0,0.11,0.12,0.17
2013,55.22,37.68,1.88,1.98,1.48,0.33,0.44,0.21,0.23,0.21,0.05,0.12,0,0.03,0.07,0.09
2014,64.98,29.93,2.87,0.49,0.89,0.13,0.28,0.1,0.06,0.08,0.04,0.07,0,0.03,0.02,0.01
2015,68.39,27.42,3.08,0.2,0.36,0.08,0.22,0.07,0.05,0.02,0.04,0.01,0.03,0.02,0.01,0.01
2016,71.66,25.06,2.55,0.1,0.13,0.12,0.18,0.05,0.03,0.01,0.05,0,0.04,0.01,0,0
2017,74.94,23.12,1.56,0.03,0.02,0.07,0.11,0.02,0.02,0,0.04,0,0.05,0.01,0,0
2018,76.03,22.83,0.85,0.02,0.01,0.14,0.05,0.01,0.02,0,0.01,0,0.02,0,0,0
2019,79.94,19.54,0.31,0.01,0,0.15,0.02,0.01,0.01,0,0,0,0.01,0,0,0
2020,81.55,18.15,0.09,0.01,0,0.18,0.01,0.01,0.01,0,0,0,0,0,0,0.01
2021,77.77,21.65,0.03,0,0,0.51,0,0.01,0.02,0,0,0,0,0,0,0
2022,72.44,27.02,0.02,0,0,0.5,0,0,0,0,0,0,0,0,0,0.01
2023,72.27,26.95,0.02,0,0,0.73,0,0.01,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
