"Date","Android","iOS","BlackBerry OS","Windows","Linux","Unknown","Playstation","Series 40","Samsung","SymbianOS","Nokia Unknown","Nintendo 3DS","Other"
2012,19.94,66.88,8.36,0.33,0.08,0.29,1.48,1.01,0.05,0.85,0,0.1,0.63
2013,34.33,50.79,7.29,0.82,4.1,0.43,0.51,0.76,0.06,0.36,0,0.22,0.33
2014,55.91,32.59,4.84,1.94,3.4,0.21,0.42,0.38,0.07,0.12,0.02,0.01,0.08
2015,69.33,21.32,3.04,3.46,2.06,0.24,0.28,0.1,0.01,0.05,0.07,0.01,0.02
2016,75.2,19.82,1.62,2.76,0.19,0.18,0.06,0.02,0.01,0,0.11,0.01,0.02
2017,78.31,19.17,0.45,1.73,0.04,0.18,0.04,0,0.03,0,0.05,0,0
2018,80.13,18.89,0.16,0.72,0.02,0.02,0,0,0.05,0,0,0,0
2019,81.43,18.2,0.05,0.24,0.03,0,0,0,0.05,0,0,0,0
2020,84.98,14.64,0.18,0.17,0,0,0,0,0.03,0,0,0,0
2021,80.42,19.02,0.01,0.22,0.01,0,0.01,0,0.27,0,0,0,0.04
2022,75.53,24.17,0,0.02,0,0,0,0,0.27,0,0,0,0
2023,69.95,29.71,0,0.02,0.01,0,0,0,0.3,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0
