"Date","Windows","OS X","Linux","Unknown","iOS","Android","Chrome OS","Playstation","Other"
2009,97.8,1.21,0.78,0.14,0,0,0,0.06,0.02
2010,97.38,1.62,0.82,0.1,0.03,0,0,0.04,0.02
2011,96.9,1.8,0.93,0.05,0.23,0.04,0,0.04,0.01
2012,96.27,2.17,1.05,0.04,0.36,0.08,0,0.02,0.01
2013,96.3,2.25,1.16,0.03,0,0.26,0,0,0
2014,95.52,2.42,1.49,0.46,0,0.1,0.01,0,0
2015,94.33,2.7,1.86,1.09,0,0,0.02,0,0
2016,92.3,2.8,2.08,2.78,0,0,0.02,0,0.01
2017,91.74,4.18,1.92,2.13,0,0,0.03,0,0.01
2018,87.72,5.29,1.84,5.09,0,0,0.06,0,0
2019,84.85,6.88,1.64,6.58,0,0,0.05,0,0.01
2020,85.07,7.92,1.77,5.19,0,0,0.05,0,0
2021,86.24,6.19,2.41,5.08,0,0,0.08,0,0
2022,86.71,6.99,1.88,4.23,0,0,0.19,0,0.01
2023,83.16,7.32,2.29,6.92,0,0,0.31,0,0.01
