"Date","Android","iOS","Samsung","Linux","Windows","BlackBerry OS","Unknown","Other"
2012,83.66,15.97,0.01,0.04,0.05,0.04,0.11,0.11
2013,87.14,12.19,0,0.51,0.03,0.02,0.03,0.07
2014,86.25,13.56,0,0.06,0.05,0.03,0.02,0.04
2015,77.22,22.5,0,0.02,0.11,0.07,0.03,0.04
2016,78.23,21.47,0.01,0.01,0.12,0.08,0.04,0.04
2017,77.91,21.85,0.05,0,0.06,0.06,0.03,0.03
2018,70.59,29.29,0.05,0,0.02,0.01,0.02,0.01
2019,70.87,28.98,0.08,0,0.03,0.04,0,0.01
2020,75.33,24.55,0.09,0,0.01,0,0.01,0.01
2021,72.48,27.17,0.33,0,0,0,0.01,0
2022,69.53,30.09,0.37,0,0,0,0,0
2023,69.04,30.68,0.28,0,0,0,0.01,0
2009,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0
