"Date","Android","iOS","SymbianOS","Linux","Unknown","Series 40","Samsung","Windows","Nokia Unknown","BlackBerry OS","bada","Tizen","LG","Sony Ericsson","Playstation","Firefox OS","Other"
2012,4.08,2.54,91.43,0.01,0.12,0.13,0.04,0.04,0,0.37,0.61,0,0,0.1,0.43,0,0.1
2013,19.84,9.86,44.14,0.36,11.4,5.32,2.37,0.33,0,2.05,0.96,0,1.21,1.95,0.12,0,0.09
2014,47.37,20.78,2.06,0.22,10,7.81,3.65,1.85,0.54,1.38,1.75,0,0.87,1.57,0.13,0,0.02
2015,65.91,8.07,1.05,4.53,9.57,2.68,1.91,1.82,1.54,1.69,0.37,0,0.51,0.26,0.06,0,0.02
2016,68.27,3.13,0.14,16.79,3.41,0.86,2.71,1.36,1.43,0.3,0.78,0,0.35,0.06,0.37,0.03,0.01
2017,91,4.5,0.04,0.58,1.61,0.2,0.36,0.91,0.4,0.16,0.05,0,0.08,0.01,0.06,0.03,0
2018,95.51,2.81,0.01,0.14,0.71,0.26,0.05,0.35,0.02,0.04,0.01,0.07,0.01,0,0.01,0,0
2019,93.84,4.07,0,0.11,0.55,0.02,0.03,0.37,0.01,0.05,0,0.93,0,0,0,0,0
2020,93.49,5.79,0.01,0.03,0.12,0,0.03,0.21,0.01,0.06,0,0.21,0.02,0,0.01,0,0
2021,91.98,7.52,0.01,0.01,0.04,0,0.05,0.05,0,0.06,0,0.27,0,0,0,0,0.01
2022,90.5,9.03,0,0,0.3,0,0.05,0.01,0,0,0,0.03,0,0,0,0.03,0.04
2023,85.61,14.25,0,0,0.03,0,0.05,0,0,0,0,0.02,0,0,0,0,0.03
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
