"Date","Android","Unknown","iOS","Series 40","Nokia Unknown","SymbianOS","Linux","Samsung","Windows","LG","BlackBerry OS","Sony Ericsson","Other"
2012,1.6,10.99,0.66,66.4,0,14.51,0.04,4.11,0.42,0.06,0.66,0.54,0.02
2013,6.65,16.61,1.28,54.24,0.34,15.55,0.21,3.13,0.13,0.45,1.05,0.32,0.04
2014,35.21,10.86,4.18,34.15,2.58,6.97,0.28,2.08,1.34,1.18,0.95,0.18,0.04
2015,72.66,4.47,2.84,7.86,5.63,0.88,2.47,0.83,1.32,0.65,0.32,0.05,0.02
2016,75.61,10.66,1.6,2.69,5.28,0.29,1.91,0.47,0.85,0.55,0.08,0.01,0.01
2017,61.86,28.85,2,1.54,3.49,0.12,0.48,0.51,0.36,0.64,0.12,0.01,0.01
2018,75.35,20.13,2.35,0.57,0.52,0.13,0.15,0.16,0.26,0.32,0.05,0,0.02
2019,94.36,1.07,3.63,0.21,0.23,0.04,0.1,0.11,0.13,0.05,0.06,0,0.01
2020,92.85,0.25,6.49,0.04,0.1,0.01,0.04,0.11,0.07,0.02,0.01,0,0
2021,90.22,0.14,9.43,0.01,0.03,0,0.02,0.12,0.01,0,0,0,0.01
2022,86.69,0.13,12.96,0.01,0.03,0,0.01,0.15,0,0,0,0,0
2023,84.8,0.12,14.84,0.04,0.01,0,0.01,0.16,0,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0
