"Date","Windows","OS X","Linux","Unknown","iOS","Chrome OS","Playstation","Android","Nintendo","Other"
2009,91.93,6.66,0.8,0.15,0,0,0.42,0,0.03,0.01
2010,90.19,8.23,0.82,0.08,0.24,0,0.4,0,0.03,0.01
2011,87.53,9.67,0.77,0.05,1.45,0,0.44,0.04,0.02,0.01
2012,84.48,11.43,0.86,0.06,2.75,0.01,0.19,0.16,0.01,0.07
2013,85.81,12.55,1.09,0.1,0,0.06,0,0.39,0,0
2014,82.33,15.42,1.3,0.3,0,0.49,0,0.15,0,0
2015,80.62,16.44,1.43,0.72,0,0.77,0,0,0,0.01
2016,77.81,17.67,1.33,2.21,0,0.97,0,0,0,0.01
2017,77.13,19.36,1.41,0.94,0,1.15,0,0,0,0.01
2018,74.87,19.97,1.3,2.53,0,1.31,0,0,0,0.01
2019,72.31,21.71,1.23,3.03,0,1.71,0,0,0,0.01
2020,66.81,28.69,1.18,1.29,0,2.03,0,0,0,0
2021,67.12,26.48,1.47,2.26,0,2.67,0,0,0,0.01
2022,69.41,23.24,1.14,1.66,0,4.53,0,0,0,0.01
2023,66.65,23.26,1.53,3.52,0,5.01,0,0,0,0.02
