"Date","Android","iOS","Windows","Samsung","BlackBerry OS","SymbianOS","Linux","Unknown","Playstation","Series 40","Nintendo 3DS","Other"
2012,48.68,46.52,1.21,0.13,0.84,1.5,0.11,0.23,0.11,0.28,0.12,0.27
2013,55.3,41.24,1.31,0.07,0.51,0.7,0.2,0.16,0.06,0.2,0.08,0.16
2014,67.47,30.2,1.57,0.02,0.21,0.14,0.14,0.08,0.06,0.06,0.01,0.04
2015,68.6,29.1,1.72,0.01,0.18,0.05,0.14,0.03,0.06,0.03,0.01,0.05
2016,70.52,28.05,1.08,0.06,0.12,0.01,0.07,0.04,0.03,0.01,0,0.01
2017,72.93,26.23,0.6,0.1,0.05,0.01,0.03,0.03,0.02,0,0.01,0.01
2018,75.21,24.3,0.3,0.12,0.01,0,0.02,0.02,0.01,0,0.01,0.01
2019,75.94,23.75,0.12,0.13,0.01,0,0.01,0.01,0.01,0,0,0
2020,78.08,21.65,0.02,0.22,0,0,0.01,0.02,0,0,0,0
2021,77.79,21.64,0.01,0.53,0,0,0,0.03,0,0,0,0
2022,77.42,22.09,0.01,0.47,0,0,0,0.01,0,0,0,0
2023,76.32,23.26,0.01,0.39,0,0,0.01,0.01,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0
