"Date","Android","Unknown","iOS","Series 40","Linux","Nokia Unknown","Samsung","SymbianOS","LG","Windows","BlackBerry OS","Other"
2012,26.12,2.19,27.84,5.77,0,0,28.69,6.66,0,0.13,2.49,0.13
2013,39.16,0.29,31.82,7.32,0.83,0,1.57,14.11,0.07,1.79,2.76,0.29
2014,62.8,1.05,27.79,3.39,0.88,0.18,0.03,0.77,0.04,2.18,0.81,0.09
2015,68.4,6.95,12.11,1.24,1.54,6.11,0.66,0.73,0.23,1.15,0.85,0.04
2016,76.7,9.97,5.15,0.11,0.8,6.35,0.15,0.08,0.27,0.29,0.1,0.02
2017,81.44,12.85,1.35,0.03,0.53,3.01,0.34,0.03,0.3,0.06,0.07,0
2018,88.85,7.65,2.2,0.22,0.41,0,0.22,0.22,0.16,0.05,0,0.01
2019,91.25,0.85,7.48,0.07,0.11,0,0.04,0.07,0.02,0.05,0.04,0.02
2020,84.36,10.17,3.44,0.69,0.71,0.34,0.12,0.09,0.03,0.02,0.03,0
2021,86.31,8.32,3.47,0.63,0.68,0.33,0.1,0.11,0.03,0.03,0.01,0.01
2022,90.92,5.59,2.69,0.29,0.17,0.12,0.13,0.04,0.03,0.01,0,0
2023,93.01,4.17,2.17,0.26,0.11,0.09,0.08,0.04,0,0,0,0.07
2009,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0
