"Date","Android","iOS","Windows","Unknown","BlackBerry OS","Playstation","Samsung","bada","Series 40","Nintendo 3DS","Nokia Unknown","Sony Ericsson","SymbianOS","Linux","Nintendo","LG","Firefox OS","Other"
2012,53.38,33.28,0.62,3.41,0.89,0.59,1.67,1.92,0.67,1.37,0,0.26,1.32,0.05,0.46,0.03,0,0.08
2013,57.63,32.71,1.08,3.05,0.66,0.69,0.64,1.05,0.58,0.56,0,0.6,0.2,0.09,0.28,0.13,0,0.05
2014,68.99,28.35,0.89,0.39,0.36,0.36,0.1,0.14,0.1,0.05,0,0.08,0.03,0.04,0.06,0.06,0,0
2015,71.57,23.61,1.15,0.77,1.57,0.38,0.11,0.07,0.19,0.04,0.32,0.01,0.03,0.12,0,0.05,0.01,0
2016,75.83,21.59,0.84,0.52,0.28,0.5,0.07,0.02,0.02,0.04,0.11,0,0.01,0.08,0,0.02,0.06,0
2017,77.58,21.52,0.39,0.02,0.05,0.17,0.05,0,0.03,0.06,0.01,0,0,0.01,0,0,0.1,0
2018,78.02,21.21,0.19,0.1,0.03,0.08,0.19,0,0.14,0.03,0,0,0,0,0,0,0.01,0
2019,80.67,18.87,0.08,0.07,0.04,0.02,0.18,0,0.01,0.01,0,0,0,0.03,0,0,0,0
2020,75.34,24.5,0.01,0.01,0,0.02,0.11,0,0,0,0,0,0,0.01,0,0,0,0
2021,72.19,27.57,0,0,0,0.02,0.21,0,0,0,0,0,0,0,0,0,0,0.01
2022,73.73,25.75,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0.02
2023,71.48,28.11,0.01,0.01,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
