"Date","Windows","OS X","Linux","Unknown","iOS","Chrome OS","Android","Playstation","Other"
2009,90.3,8.6,0.76,0.25,0,0,0,0.08,0.02
2010,87.24,11.44,0.77,0.11,0.32,0,0,0.1,0.02
2011,82.67,14.59,0.74,0.06,1.74,0,0.07,0.1,0.02
2012,80.59,15.5,0.71,0.05,2.85,0,0.23,0.04,0.03
2013,80.38,18.02,1.1,0.04,0,0.02,0.43,0,0.01
2014,77.32,21.17,0.95,0.27,0,0.18,0.1,0,0.01
2015,76.87,20.53,1.16,1,0,0.42,0,0,0.03
2016,73.09,22.27,1.21,2.8,0,0.63,0,0,0.01
2017,72.44,24.65,0.97,0.96,0,0.97,0,0,0.01
2018,71.48,24.1,0.96,2.4,0,1.05,0,0,0.01
2019,69.2,24.33,1.01,4.34,0,1.12,0,0,0.01
2020,65.53,30.71,1.09,1.51,0,1.17,0,0,0
2021,64.89,30.32,1.54,1.95,0,1.28,0,0,0.01
2022,67.13,27.19,1.55,2.01,0,2.12,0,0,0.01
2023,63.65,29.9,1.66,2.93,0,1.85,0,0,0.01
