"Date","Windows","OS X","Linux","Unknown","iOS","Android","Chrome OS","Playstation","Other"
2009,92.02,6.42,1.33,0.15,0,0,0,0.07,0.01
2010,89.26,8.67,1.65,0.06,0.21,0,0,0.14,0.01
2011,87.2,9.61,1.92,0.03,0.9,0.13,0,0.2,0.01
2012,85.15,10.96,1.82,0.03,1.46,0.37,0,0.11,0.08
2013,86.05,10.73,2.32,0.02,0,0.88,0,0,0
2014,83.31,12.37,2.09,1.91,0,0.27,0.05,0,0
2015,77.93,16.62,2.06,3.31,0,0,0.08,0,0.01
2016,74.76,18.68,1.66,4.78,0,0,0.11,0,0
2017,73.04,23.4,1.06,2.36,0,0,0.13,0,0
2018,67.86,26.38,1.11,4.49,0,0,0.15,0,0.01
2019,63.86,30.49,0.92,4.51,0,0,0.2,0,0
2020,58.72,37.96,0.72,2.44,0,0,0.16,0,0
2021,69.42,25.17,0.82,4.22,0,0,0.36,0,0
2022,77.69,18.78,0.66,2.51,0,0,0.35,0,0
2023,73.87,19.24,1.19,5.32,0,0,0.38,0,0
