"Date","Android","Unknown","iOS","Series 40","Nokia Unknown","Samsung","Linux","LG","Windows","SymbianOS","KaiOS","BlackBerry OS","Tizen","Other"
2016,75.45,3.85,1.49,10.69,4.73,1.26,1.11,0.29,0.4,0.57,0,0.12,0,0.04
2017,61.32,15.38,2.56,11.37,5.56,1.2,0.59,0.58,0.66,0.61,0,0.06,0.08,0.04
2018,74.32,8.75,3.43,7.07,3.46,0.81,0.8,0.53,0.4,0.28,0,0.09,0.07,0.01
2019,69.06,15.65,6.92,3.23,3.14,0.36,0.75,0.39,0.18,0.25,0,0.05,0.02,0
2020,71.14,20.9,5,0.59,1.58,0.12,0.28,0.15,0.07,0.05,0.11,0.01,0,0
2021,77.11,16.49,4.63,0.25,1.04,0.11,0.15,0.06,0.04,0,0.11,0.01,0,0
2022,73.28,19.81,5.84,0.19,0.39,0.06,0.22,0.04,0.02,0.01,0.14,0.01,0,0
2023,71.75,21.33,5.98,0.15,0.36,0.22,0.07,0.02,0,0,0.11,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
