"Date","Windows","OS X","Linux","Unknown","iOS","Android","Chrome OS","Playstation","Other"
2009,96.72,2.12,0.96,0.13,0,0,0,0.05,0.01
2010,96.19,2.55,1.07,0.08,0.04,0,0,0.07,0.01
2011,95.71,2.71,1.1,0.05,0.31,0.02,0,0.09,0.01
2012,95.12,2.97,1.12,0.1,0.55,0.07,0,0.06,0.01
2013,96.02,2.61,1.17,0.03,0,0.17,0,0,0
2014,95.09,2.7,1.75,0.38,0,0.07,0.02,0,0
2015,92.58,2.77,3.25,1.36,0,0,0.04,0,0
2016,89.75,3.18,3.75,3.26,0,0,0.06,0,0
2017,89.8,3.52,4.2,2.43,0,0,0.05,0,0
2018,87.16,3.67,4.94,4.18,0,0,0.04,0,0
2019,86.37,4.11,5.55,3.94,0,0,0.04,0,0
2020,87.01,5.43,4.96,2.54,0,0,0.05,0,0
2021,85.12,4.36,7.47,2.94,0,0,0.11,0,0
2022,82.17,4.09,10.3,3.07,0,0,0.19,0,0.18
2023,75.77,5.22,9.39,9.44,0,0,0.17,0,0
