"Date","Android","iOS","BlackBerry OS","Windows","Linux","Samsung","Playstation","SymbianOS","Series 40","Unknown","webOS","Nintendo 3DS","Other"
2012,31.73,62.52,3.89,0.48,0.06,0.08,0.25,0.36,0.1,0.04,0.27,0.14,0.09
2013,34.21,58.6,3.96,0.81,1.23,0.08,0.35,0.2,0.17,0.05,0.12,0.14,0.07
2014,42.73,52.54,3.21,0.58,0.6,0.04,0.15,0.05,0.05,0.03,0.01,0.01,0.01
2015,48.07,47.67,2.33,0.74,1,0,0.1,0.02,0.03,0.01,0.01,0.01,0.02
2016,52.87,45.33,1.04,0.54,0.1,0.01,0.04,0.01,0.02,0.02,0,0,0.01
2017,54.91,44.44,0.23,0.24,0.01,0.07,0.02,0.01,0.01,0.05,0,0,0.01
2018,57.3,42.45,0.03,0.1,0,0.08,0.02,0,0,0,0,0,0
2019,61.73,38.12,0.01,0.05,0,0.08,0,0,0,0,0,0,0
2020,71.6,28.11,0,0.03,0,0.24,0,0,0,0.01,0,0,0
2021,63.17,36.28,0,0.01,0,0.54,0,0,0,0,0,0,0
2022,53.74,45.8,0,0.01,0,0.44,0,0,0,0,0,0,0
2023,51.8,47.9,0,0.02,0,0.28,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0
