"Date","Android","iOS","Series 40","Windows","BlackBerry OS","Nokia Unknown","SymbianOS","Unknown","Samsung","Playstation","LG","Linux","Sony Ericsson","Motorola","Nintendo 3DS","webOS","Other"
2012,34.21,31.12,10.13,0.69,11.98,0,7.65,1.76,1.08,0.21,0.01,0.1,0.31,0.15,0.17,0.17,0.27
2013,44.24,28.01,9.7,1.47,8.08,0.01,3.7,2.44,0.83,0.22,0.38,0.28,0.21,0.11,0.08,0.09,0.12
2014,56.95,22.65,7.48,3.82,5.45,0.18,1.01,0.97,0.31,0.35,0.41,0.26,0.06,0.03,0.01,0.02,0.05
2015,65.01,16.01,5.24,5.14,3.26,3,0.75,0.37,0.13,0.36,0.37,0.29,0.03,0.01,0.01,0.01,0.02
2016,75.31,13.61,2,4.21,1.12,2.43,0.38,0.29,0.09,0.22,0.17,0.16,0.01,0,0,0,0.01
2017,82.47,11.69,0.98,2.45,0.37,1.12,0.14,0.27,0.21,0.13,0.1,0.06,0.01,0,0.01,0,0.01
2018,82.81,14.11,0.33,1.22,0.19,0.31,0.04,0.09,0.73,0.08,0.04,0.02,0,0,0.01,0,0
2019,84.78,13.63,0.08,0.67,0.04,0.1,0.02,0.02,0.59,0.04,0.02,0.01,0,0,0,0,0
2020,86.5,12.78,0.01,0.11,0.01,0.02,0,0.02,0.5,0.03,0,0,0,0,0,0,0
2021,86.96,12.57,0.07,0.02,0,0.01,0,0.01,0.33,0.02,0,0,0,0,0,0,0
2022,85.94,13.63,0.02,0.02,0,0,0,0.01,0.36,0.01,0,0,0,0,0,0,0
2023,81.26,18.29,0,0.02,0,0,0,0.01,0.39,0.01,0,0.01,0,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
