"Date","Windows","OS X","Linux","iOS","Chrome OS","Unknown","Android","Playstation","Other"
2009,93.72,5.23,0.82,0,0,0.12,0,0.1,0.02
2010,92.1,6.41,1.06,0.23,0,0.06,0,0.12,0.02
2011,89.07,8.04,0.87,1.76,0,0.04,0.08,0.13,0.02
2012,86.25,9.6,0.89,2.75,0.01,0.04,0.38,0.06,0.02
2013,86.97,11.43,1.09,0,0.03,0.05,0.43,0,0
2014,86.06,11.77,1.38,0,0.35,0.32,0.12,0,0
2015,83.91,13.25,1.67,0,0.48,0.68,0,0,0.01
2016,81.06,14.71,1.74,0,0.64,1.84,0,0,0
2017,79.97,16.27,1.74,0,1.28,0.73,0,0,0.01
2018,75.42,18.61,1.47,0,2.22,2.27,0,0,0.01
2019,72.91,20.37,1.97,0,2.47,2.26,0,0,0.02
2020,70.12,24.42,1.74,0,2.75,0.97,0,0,0
2021,72.18,21.24,1.7,0,3.15,1.72,0,0,0
2022,73.28,20.12,1.59,0,3.59,1.41,0,0,0.01
2023,71.86,20.07,1.96,0,2.54,3.57,0,0,0.01
