"Date","Android","iOS","Series 40","SymbianOS","Windows","Unknown","BlackBerry OS","Nokia Unknown","Samsung","Linux","Sony Ericsson","MeeGo","LG","Other"
2012,24.66,16.77,27.36,24.35,0.14,3.11,1.15,0,1.18,0.08,0.72,0.17,0.07,0.24
2013,43.2,17.33,20.72,12.02,1.33,2.89,0.85,0.03,0.73,0.12,0.34,0.18,0.14,0.11
2014,67.79,16.13,8,3.39,2.72,0.88,0.41,0.15,0.19,0.09,0.06,0.08,0.06,0.04
2015,78.05,14.39,2.2,1.03,2.91,0.2,0.2,0.71,0.05,0.17,0.02,0.02,0.02,0.02
2016,79.14,16.61,0.67,0.29,2.22,0.31,0.11,0.51,0.03,0.08,0,0,0.01,0.02
2017,83.15,14.69,0.14,0.13,0.96,0.29,0.39,0.19,0.04,0.02,0,0,0,0.01
2018,84.43,14.75,0.05,0.03,0.4,0.19,0.01,0.08,0.05,0.01,0,0,0,0
2019,84.75,14.98,0.02,0.01,0.15,0.01,0.01,0.03,0.04,0,0,0,0,0
2020,84.52,15.36,0,0,0.04,0.01,0,0.01,0.06,0,0,0,0,0
2021,83.37,16.41,0,0,0.01,0.02,0,0.02,0.18,0,0,0,0,0
2022,80.23,19.58,0,0,0.01,0,0,0.02,0.15,0,0,0,0,0
2023,77.75,22.1,0,0,0.01,0,0,0,0.13,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
