"Date","Windows","Unknown","OS X","Linux","iOS","Chrome OS","Android","Other"
2009,95.96,0.1,0.93,3,0,0,0,0
2010,97.98,0.09,1,0.89,0.03,0,0,0.01
2011,96.83,0.02,1.76,1.19,0.16,0,0.04,0
2012,95.4,0.03,2.24,1.75,0.39,0,0.16,0.04
2013,96.06,0.01,2.52,1.32,0,0,0.08,0
2014,96.4,0.41,2.15,0.99,0,0.02,0.03,0
2015,87.42,9.28,2.14,1.15,0,0.01,0,0.01
2016,72.9,23.7,2.22,1.17,0,0,0,0
2017,86.33,7.36,4.49,1.62,0,0.13,0,0.07
2018,81.15,13.62,4.1,1.06,0,0.08,0,0
2019,78.16,15.71,4.97,1.13,0,0.03,0,0
2020,68.18,27.12,3.42,1.22,0,0.06,0,0
2021,55.44,41.27,2.25,0.92,0,0.12,0,0
2022,66.5,30.02,2.49,0.91,0,0.08,0,0
2023,57.34,39.7,1.57,1.2,0,0.18,0,0
