"Date","Android","iOS","Series 40","Unknown","SymbianOS","Windows","Sony Ericsson","Samsung","Nokia Unknown","LG","Linux","BlackBerry OS","Tizen","bada","Other"
2012,12.49,6.23,24.53,7.36,28.7,0.64,11.9,7.07,0,0.15,0.1,0.43,0,0.18,0.22
2013,26.1,5.63,25.85,7.42,16.65,0.64,8.39,6.93,0.08,1.11,0.37,0.53,0,0.15,0.16
2014,46.73,4.75,20.15,6.35,9.14,1.73,4.69,4.29,0.34,0.98,0.25,0.42,0,0.13,0.06
2015,65.3,5.09,8.89,5.35,3.56,4.52,1.25,1.57,2.11,0.76,1.15,0.3,0.08,0.06,0.03
2016,76.2,5.01,3.12,4.52,1.25,4.6,0.34,0.71,2.33,0.49,1.07,0.16,0.17,0.02,0.02
2017,78.72,7.9,0.96,7.04,0.5,2.64,0.09,0.25,1.18,0.35,0.17,0.09,0.08,0.01,0.01
2018,83.82,8.87,0.41,4.2,0.29,1.48,0.04,0.13,0.42,0.18,0.04,0.06,0.05,0,0.01
2019,89.09,8.72,0.3,0.3,0.16,0.85,0.01,0.09,0.36,0.01,0.03,0.04,0.04,0,0.01
2020,88.83,10.58,0.07,0.04,0.02,0.21,0,0.06,0.15,0,0.01,0.01,0.01,0,0.01
2021,91.08,8.62,0.04,0.02,0.01,0.03,0,0.1,0.09,0,0.01,0.01,0,0,0
2022,88.21,11.57,0.02,0.01,0,0.02,0,0.12,0.04,0,0,0,0,0,0
2023,86.63,13.15,0.01,0.01,0.01,0.01,0,0.13,0.04,0,0.01,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
