"Date","Windows","OS X","Linux","Unknown","iOS","Chrome OS","Playstation","Android","Other"
2009,90.93,6.01,2.4,0.17,0,0,0.45,0,0.03
2010,91.38,7.01,0.84,0.12,0.16,0,0.47,0,0.03
2011,89.32,8.01,0.97,0.05,1.05,0,0.53,0.04,0.02
2012,86.88,9.06,1.45,0.07,2.05,0.01,0.21,0.21,0.06
2013,87.05,10.66,1.63,0.07,0,0.04,0,0.56,0
2014,84.97,12.12,2.01,0.34,0,0.35,0,0.21,0
2015,81.84,13.74,2.57,1.22,0,0.62,0,0,0
2016,80.77,13.52,2.27,2.67,0,0.75,0,0,0
2017,79.66,15.62,2.48,1.26,0,0.96,0,0,0.01
2018,75.79,16.49,2.46,4.23,0,1.02,0,0,0.01
2019,76.06,15.27,2.66,4.81,0,1.2,0,0,0
2020,68.48,24.41,3.66,1.75,0,1.71,0,0,0
2021,68.82,22.64,2.98,3.47,0,2.08,0,0,0
2022,70.15,21.7,3.21,2.38,0,2.56,0,0,0
2023,66.84,20.8,2.95,7.02,0,2.4,0,0,0
