"Date","Windows","Unknown","OS X","Linux","Chrome OS","Other"
2016,85.82,7.37,5.69,1.12,0,0
2017,86.12,6.58,6.2,1.09,0.01,0
2018,87.96,5.93,5.04,0.84,0.24,0
2019,88.25,6.67,4.5,0.54,0.04,0
2020,82.07,9.94,7.31,0.59,0.1,0
2021,67.26,26.29,5.39,0.93,0.12,0
2022,73.49,19.22,5.93,1.12,0.24,0
2023,66.77,25.94,5.59,1.36,0.34,0
2009,0,0,0,0,0,0
2010,0,0,0,0,0,0
2011,0,0,0,0,0,0
2012,0,0,0,0,0,0
2013,0,0,0,0,0,0
2014,0,0,0,0,0,0
2015,0,0,0,0,0,0
