"Date","Windows","OS X","Unknown","Linux","Chrome OS","Android","iOS","FreeBSD","Other"
2012,87.46,11.08,0.04,0.33,0,0.11,0.78,0,0.19
2013,88.77,10.12,0.03,0.47,0.03,0.58,0,0,0
2014,86.69,11.46,0.52,0.91,0.31,0.06,0,0.02,0.03
2015,80.7,15.91,1.93,1.04,0.35,0,0,0.03,0.05
2016,80.47,13.69,4.36,0.95,0.51,0,0,0.01,0.03
2017,81.68,14.47,1.75,1.23,0.86,0,0,0,0
2018,78.56,16.02,3.85,0.72,0.85,0,0,0,0
2019,75.36,19.31,4.2,0.52,0.61,0,0,0,0
2020,77.46,18.42,2.53,1.05,0.55,0,0,0,0
2021,78.51,15.55,3.85,1.21,0.89,0,0,0,0
2022,75.38,19.02,3.21,1.33,1.05,0,0,0.01,0
2023,72.85,19.56,5.06,1.3,1.23,0,0,0.01,0
2009,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0
