"Date","Windows","OS X","Linux","Unknown","iOS","Android","Playstation","Chrome OS","Other"
2009,90.57,8.05,1.04,0.16,0,0,0.15,0,0.04
2010,85.41,12.71,1.34,0.1,0.22,0,0.21,0,0.02
2011,82.06,15.3,1.15,0.11,1.06,0.09,0.19,0,0.02
2012,80.32,16.26,1.37,0.05,1.55,0.34,0.09,0,0.02
2013,81.42,17.08,1.07,0.03,0,0.38,0,0,0
2014,79.17,18.87,1.42,0.36,0,0.11,0,0.06,0
2015,75.78,21.68,1.94,0.53,0,0,0,0.07,0
2016,74.56,21.54,2.33,1.45,0,0,0,0.11,0.01
2017,75.27,21.94,2.04,0.66,0,0,0,0.08,0.01
2018,73.16,23.51,1.66,1.58,0,0,0,0.1,0
2019,70.67,25.65,1.38,2.17,0,0,0,0.13,0
2020,63.47,31.43,3.74,1.25,0,0,0,0.1,0
2021,65.49,30.05,1.56,2.68,0,0,0,0.21,0
2022,67.52,28.42,1.7,2.09,0,0,0,0.27,0
2023,68.31,24.68,3,3.67,0,0,0,0.34,0.01
