"Date","Windows","OS X","Linux","Unknown","iOS","Chrome OS","Android","Other"
2009,98.24,1.07,0.57,0.11,0,0,0,0.02
2010,97.78,1.35,0.79,0.06,0.01,0,0,0.01
2011,97.21,1.75,0.83,0.05,0.12,0,0.02,0.01
2012,96.54,2.25,0.83,0.04,0.22,0,0.09,0.02
2013,96.37,2.5,1,0.02,0,0.01,0.11,0
2014,95.09,3.33,1.3,0.21,0,0.02,0.04,0
2015,92.08,5.3,2.08,0.5,0,0.04,0,0.01
2016,92.56,4.72,1.65,1,0,0.06,0,0.01
2017,91.12,6.45,1.65,0.71,0,0.06,0,0.01
2018,87.97,8.18,1.74,2.02,0,0.08,0,0
2019,86.48,9.4,1.65,2.41,0,0.06,0,0
2020,85.6,11.66,1.73,0.93,0,0.08,0,0
2021,87.31,9.26,1.81,1.5,0,0.11,0,0
2022,87.09,9.61,1.62,1.5,0,0.17,0,0.01
2023,91.4,5.49,1.06,1.46,0,0.59,0,0
