"Date","Windows","OS X","Linux","iOS","Chrome OS","Unknown","Android","Playstation","Other"
2009,91.43,7.41,0.9,0,0,0.19,0,0.06,0.01
2010,88.05,10.46,1.11,0.18,0,0.08,0,0.11,0.01
2011,84.72,12.58,1.03,1.43,0,0.06,0.07,0.1,0.01
2012,81.7,14.19,1.27,2.54,0,0.06,0.19,0.04,0.01
2013,82.08,15.75,1.69,0,0.02,0.05,0.4,0,0
2014,79.92,16.81,2.95,0,0.05,0.16,0.11,0,0
2015,80.49,16.35,2,0,0.18,0.98,0,0,0.01
2016,79.78,17.52,1.3,0,0.26,1.13,0,0,0.01
2017,77.19,20.33,1.44,0,0.6,0.43,0,0,0.01
2018,77.8,17.35,2.05,0,0.86,1.93,0,0,0.01
2019,75.19,18.88,2.28,0,1.83,1.82,0,0,0
2020,66.57,28.01,1.9,0,3.2,0.33,0,0,0
2021,65.99,18.77,11.97,0,2.61,0.67,0,0,0
2022,72.58,16.31,7.58,0,3.05,0.48,0,0,0
2023,70.83,15.39,8.58,0,3.82,1.38,0,0,0
