"Date","Android","iOS","Samsung","Unknown"
2021,89.62,10.22,0.1,0.06
2022,82.32,17.59,0.07,0.02
2023,100,0,0,0
2009,0,0,0,0
2010,0,0,0,0
2011,0,0,0,0
2012,0,0,0,0
2013,0,0,0,0
2014,0,0,0,0
2015,0,0,0,0
2016,0,0,0,0
2017,0,0,0,0
2018,0,0,0,0
2019,0,0,0,0
2020,0,0,0,0
