"Date","Windows","OS X","Linux","Chrome OS","iOS","Unknown","Android","Playstation","Other"
2009,91.76,6.98,1,0,0,0.16,0,0.09,0.02
2010,88.59,10.07,1,0,0.13,0.08,0,0.13,0.01
2011,84.84,12.96,0.88,0,1.09,0.05,0.04,0.13,0.01
2012,81.8,14.98,0.85,0,2.13,0.05,0.12,0.06,0.01
2013,81.38,17.45,0.85,0,0,0.03,0.29,0,0
2014,81.19,17.29,1.17,0.12,0,0.16,0.07,0,0
2015,80.26,17.83,1.17,0.36,0,0.37,0,0,0.01
2016,76.95,20.1,1.22,0.72,0,1.01,0,0,0.01
2017,74.43,21.9,1.83,1.43,0,0.41,0,0,0.01
2018,72.72,22.66,1.9,1.41,0,1.31,0,0,0.01
2019,62.45,33.05,0.82,2.34,0,1.34,0,0,0
2020,60.89,35.13,1.02,2.62,0,0.34,0,0,0
2021,63.94,31.02,1.17,3.17,0,0.7,0,0,0
2022,66.38,28.11,1.06,4.04,0,0.41,0,0,0
2023,72.67,21.14,1.38,3.41,0,1.39,0,0,0
