"Date","Android","iOS","BlackBerry OS","Windows","Linux","Samsung","Unknown","Playstation","SymbianOS","Nintendo","Series 40","bada","Nokia Unknown","Other"
2012,20.43,64.97,10.66,0.49,0.19,0.08,0.1,0.66,1.14,0.23,0.22,0.42,0,0.41
2013,30.64,56.45,5.53,0.9,3.58,0.04,0.68,0.09,0.54,0.8,0.55,0.04,0,0.16
2014,42.61,48.65,3.18,1.25,3.57,0.02,0.27,0.11,0.16,0.01,0.03,0.09,0,0.04
2015,54.27,37.81,1.82,3.24,2.41,0.02,0.15,0.11,0.03,0,0.02,0.06,0.04,0.01
2016,60.54,35.07,1.38,2.11,0.24,0.04,0.15,0.32,0.09,0,0.01,0,0.04,0.01
2017,67.76,31.04,0.28,0.65,0.04,0.08,0.07,0.03,0,0,0,0,0.01,0.02
2018,70.15,28.84,0.36,0.26,0.02,0.25,0.09,0.02,0.01,0,0,0,0,0.01
2019,71.95,27.05,0.78,0.12,0.01,0.08,0,0,0,0,0,0,0,0
2020,77.15,22.59,0.08,0.04,0,0.13,0.01,0,0,0,0,0,0,0
2021,72,27.77,0.01,0.02,0,0.17,0,0.03,0,0,0,0,0,0
2022,70.19,29.19,0,0,0,0.6,0,0,0,0,0,0,0,0
2023,65.95,33.51,0,0,0,0.52,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
