"Date","Android","iOS","SymbianOS","Series 40","BlackBerry OS","Unknown","Windows","Samsung","Linux","Nokia Unknown","Sony Ericsson","Other"
2012,38.42,36.77,12.01,7.62,3.67,0.49,0.3,0.18,0.08,0,0.15,0.33
2013,52.45,31.5,6.49,5.63,2.41,0.48,0.49,0.13,0.2,0,0.07,0.15
2014,66.11,27.58,2.05,1.88,1.31,0.21,0.6,0.05,0.08,0.04,0.05,0.04
2015,69.01,27.94,0.6,0.6,0.65,0.28,0.46,0.01,0.19,0.19,0.03,0.03
2016,70.36,27.78,0.21,0.24,0.33,0.47,0.24,0.01,0.14,0.19,0,0.02
2017,72.44,26.26,0.05,0.08,0.13,0.73,0.13,0.05,0.02,0.09,0,0.02
2018,75.92,23.69,0.02,0.03,0.02,0.19,0.05,0.04,0.02,0.01,0,0.01
2019,78.25,21.56,0.01,0.02,0.01,0.01,0.05,0.06,0.01,0.01,0,0
2020,79.68,20.16,0,0.01,0.01,0.01,0.03,0.1,0,0,0,0
2021,78.61,21.06,0,0,0,0.01,0.02,0.29,0,0,0,0
2022,75.92,23.75,0,0,0,0.01,0.02,0.29,0,0,0,0
2023,66.59,33.2,0,0,0,0.01,0,0.19,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0
