"Date","Android","iOS","Unknown","Windows","Linux","KaiOS"
2017,0,100,0,0,0,0
2018,55.59,43.49,0.5,0.21,0.21,0
2019,100,0,0,0,0,0
2020,100,0,0,0,0,0
2021,92.51,6.84,0,0.65,0,0
2022,98.13,1.87,0,0,0,0
2023,86.91,5.76,0,0,0,7.33
2009,0,0,0,0,0,0
2010,0,0,0,0,0,0
2011,0,0,0,0,0,0
2012,0,0,0,0,0,0
2013,0,0,0,0,0,0
2014,0,0,0,0,0,0
2015,0,0,0,0,0,0
2016,0,0,0,0,0,0
