"Date","Android","iOS","Unknown","Series 40","KaiOS","Windows","Samsung","Firefox OS","Nokia Unknown","SymbianOS","Linux","BlackBerry OS","LG","Sony Ericsson","Playstation","bada","Other"
2012,26.13,18.02,0,0,0,49.55,0,0,0,0,1.8,0,0,0,0,4.5,0
2013,43.06,38.35,5.64,1.91,0,0.79,2.41,0,0.03,4.39,0.41,1.92,0.9,0,0,0.19,0
2014,57.94,25.4,5.16,3.58,0,3.05,0.66,0,0.21,1.78,0.39,0.97,0.26,0.04,0.46,0.09,0.01
2015,45.29,6.97,27.22,9.11,0,1.66,2.3,0.34,2.1,1.29,1.07,0.76,0.73,0.62,0.32,0.22,0.01
2016,62.96,4.88,15.16,3.57,0,2.43,3.76,1.6,2.49,1.09,0.73,0.19,0.4,0.5,0.2,0.06,0.01
2017,74.7,3.07,11.51,0.87,0,3.6,1.43,3.21,1,0.12,0.15,0.14,0.06,0.01,0.13,0.01,0
2018,77.46,3.67,14.8,1.24,0,1.11,0.88,0.4,0.13,0.15,0.07,0.02,0.04,0,0.03,0,0
2019,86.95,3.44,8.09,0.13,0,0.27,0.26,0.08,0.27,0.39,0.1,0.01,0.01,0,0.01,0,0
2020,91.61,4.46,3.6,0.01,0.03,0.09,0.09,0.02,0.04,0.01,0.01,0.01,0,0,0.02,0,0
2021,90.96,6.59,1.36,0,0.9,0.03,0.07,0.02,0.01,0,0,0.05,0,0,0,0,0
2022,87.7,11.57,0.19,0,0.46,0,0.05,0,0,0.01,0,0,0,0,0.01,0,0
2023,84.16,14.11,0.11,0,1.5,0.02,0.09,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
