"Date","Windows","OS X","Linux","Unknown","Chrome OS","Other"
2009,79.52,15.08,1.43,3.97,0,0
2010,97.86,0.74,1.28,0.11,0,0.01
2011,90.66,8.36,0.81,0.17,0,0.01
2012,99.16,0.6,0.22,0,0,0.01
2013,98.7,0.28,1.02,0,0,0
2014,93.76,4.77,0.95,0.43,0,0.09
2015,86.85,4.36,8.79,0,0,0
2016,42.76,54.25,1.9,1.08,0.01,0
2017,45.85,51.01,2.72,0.34,0.07,0
2018,79.99,14.28,3.23,2.44,0.06,0
2019,84.62,12.29,1.42,1.32,0.34,0
2020,83.24,16.33,0.38,0.05,0,0
2021,47.45,45.2,2.49,4.81,0.04,0.01
2022,5.35,93.74,0.35,0.49,0.07,0
2023,4.33,95.12,0.48,0.06,0.01,0
