"Date","Android","iOS","SymbianOS","Series 40","Unknown","Nokia Unknown","Linux","Samsung","Windows","MeeGo","BlackBerry OS","bada","Sony Ericsson","Other"
2012,14.97,11.72,45.37,21.37,4.03,0,0.06,1.13,0.09,0.53,0.16,0.18,0.3,0.08
2013,36.76,14.44,23.76,18.37,4.51,0.03,0.23,0.97,0.31,0.29,0.13,0.12,0.06,0.02
2014,60.18,13.87,9.79,13.14,1.51,0.2,0.16,0.48,0.37,0.11,0.08,0.06,0.04,0.02
2015,72.17,11.3,4.81,8.01,0.64,1.72,0.77,0.22,0.23,0.04,0.04,0.02,0.01,0.03
2016,78.45,9.29,3.05,4.57,0.85,2.04,1.06,0.24,0.35,0.02,0.02,0.01,0,0.03
2017,81.75,11.39,2.22,1.88,0.92,1.09,0.31,0.11,0.26,0.02,0.02,0.01,0,0.03
2018,90.68,7.21,0.72,0.37,0.42,0.24,0.15,0.04,0.15,0,0.01,0,0,0.01
2019,90.39,8.72,0.25,0.31,0.07,0.11,0.07,0.05,0.02,0,0,0,0,0
2020,89.7,9.93,0.06,0.11,0.03,0.03,0.03,0.07,0.02,0,0,0,0,0
2021,88.68,11.03,0.03,0.07,0.02,0.03,0.03,0.1,0,0,0,0,0,0
2022,88.99,10.8,0.01,0.04,0.03,0.02,0.01,0.09,0,0,0,0,0,0.01
2023,85.4,14.43,0.01,0.04,0.01,0.01,0.01,0.08,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
