"Date","Android","iOS","Windows","Series 40","SymbianOS","Samsung","BlackBerry OS","bada","Unknown","Nokia Unknown","Linux","Other"
2012,46.8,23.1,0.19,11.26,13.95,1.2,0.84,1.32,0.94,0,0.1,0.29
2013,57.35,25.67,2.26,5.91,6.08,0.66,0.7,0.63,0.53,0,0.08,0.14
2014,69.94,21.04,3.8,2.21,1.9,0.26,0.31,0.25,0.18,0.01,0.03,0.06
2015,77.58,18.28,2.1,0.83,0.6,0.2,0.11,0.09,0.06,0.1,0.02,0.02
2016,78.75,19,1.05,0.44,0.23,0.28,0.05,0.04,0.03,0.1,0.02,0.01
2017,79.93,18.7,0.52,0.22,0.11,0.36,0.02,0.02,0.03,0.06,0.01,0.01
2018,80.3,18.37,0.39,0.21,0.11,0.46,0.02,0.02,0.03,0.05,0.03,0.01
2019,82.71,16.62,0.17,0.11,0.03,0.28,0.01,0,0.01,0.03,0.03,0
2020,84.01,15.62,0.03,0.05,0.02,0.23,0,0,0.01,0.01,0.01,0
2021,83.9,15.52,0.01,0.04,0.01,0.49,0,0,0.01,0.01,0,0.01
2022,83.89,15.82,0,0.02,0,0.25,0,0,0,0,0,0
2023,80.15,19.36,0.01,0.01,0,0.46,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0
