"Date","Windows","OS X","Unknown","Chrome OS","iOS","Linux","Playstation","Android","","Nintendo","BlackBerry OS","Other"
2009,93.02,5.94,0.23,0,0,0.21,0.59,0,0,0.01,0,0
2010,91.33,7.25,0.12,0,0.21,0.28,0.75,0,0,0.06,0,0
2011,88.82,8.35,0.08,0,1.24,0.28,1.02,0.06,0,0.14,0.01,0
2012,86.26,9.82,0.04,0.01,2.2,0.28,0.46,0.24,0.43,0.09,0.13,0.02
2013,87.4,10.75,0.14,0.91,0,0.47,0,0.32,0,0,0,0
2014,85.88,11.68,0.5,1.27,0,0.56,0,0.11,0,0,0,0
2015,81.16,12.24,4.02,1.94,0,0.64,0,0,0,0,0,0
2016,76.12,13.89,7.13,2.32,0,0.54,0,0,0,0,0,0
2017,78.74,14.73,3.11,2.89,0,0.54,0,0,0,0,0,0
2018,72.34,14.27,9.11,3.84,0,0.45,0,0,0,0,0,0
2019,69.21,16.51,10.47,3.41,0,0.4,0,0,0,0,0,0
2020,65.72,24.01,6.46,3.41,0,0.41,0,0,0,0,0,0
2021,65.79,19.13,11.04,3.7,0,0.33,0,0,0,0,0,0
2022,60.2,23.26,12.12,4.05,0,0.36,0,0,0,0,0,0
2023,51.31,37.08,8.11,2.96,0,0.54,0,0,0,0,0,0
