"Date","Windows","OS X","Linux","Unknown","iOS","Android","Playstation","Chrome OS","Other"
2009,96.11,2.79,0.81,0.23,0,0,0.05,0,0
2010,95.02,3.93,0.8,0.13,0.03,0,0.08,0,0
2011,93.84,4.79,0.8,0.09,0.35,0.03,0.1,0,0
2012,93.08,5.25,0.81,0.08,0.6,0.12,0.05,0,0.01
2013,93.5,5.31,0.9,0.03,0,0.26,0,0,0
2014,92.18,5.64,1.15,0.93,0,0.1,0,0.01,0
2015,89.78,7.39,1.41,1.39,0,0,0,0.02,0
2016,87.45,9.08,1.27,2.16,0,0,0,0.03,0
2017,86.2,11.5,1.14,1.11,0,0,0,0.05,0
2018,81.18,15.08,1.02,2.65,0,0,0,0.06,0
2019,78.63,17.66,1.04,2.61,0,0,0,0.06,0
2020,80.07,17.75,0.77,1.28,0,0,0,0.13,0
2021,84.86,11.67,0.9,2.38,0,0,0,0.18,0
2022,86.18,10.32,1.08,2.14,0,0,0,0.28,0
2023,84.72,10,1.4,3.44,0,0,0,0.44,0
