"Date","Android","iOS","Unknown","BlackBerry OS","Windows","Series 40","Linux","SymbianOS","Samsung","Playstation","Nokia Unknown","LG","Sony Ericsson","Motorola","Nintendo 3DS","Nintendo","Firefox OS","webOS","Other"
2012,27.94,29.14,8.12,10.22,1,11.96,0.11,6.5,1.92,0.87,0,0.01,1.16,0.25,0.24,0.19,0,0.12,0.24
2013,38,27.76,9.31,8.31,1.96,7.43,0.47,2.96,1.68,0.44,0.02,0.3,0.63,0.22,0.17,0.16,0,0.08,0.09
2014,64.61,20.51,2.77,4.58,2.8,2.32,0.68,0.51,0.44,0.29,0.07,0.16,0.1,0.04,0.02,0.03,0.01,0.03,0.03
2015,77.66,13.05,2.38,2.01,2.35,1.04,0.6,0.15,0.12,0.18,0.22,0.12,0.03,0.01,0.01,0,0.03,0.02,0.01
2016,82.39,9.91,2.84,0.76,1.71,0.72,0.92,0.06,0.1,0.17,0.24,0.12,0.02,0.01,0.01,0,0.02,0,0.01
2017,89.07,7.29,1.87,0.19,0.69,0.21,0.26,0.02,0.08,0.11,0.08,0.12,0.01,0,0,0,0.01,0,0
2018,89.19,8.86,1.04,0.06,0.38,0.09,0.07,0.01,0.15,0.07,0.02,0.04,0,0,0.01,0,0.01,0,0
2019,88.75,10.49,0.18,0.03,0.29,0.02,0.03,0,0.15,0.04,0,0,0,0,0.01,0,0,0,0
2020,88.82,10.85,0.03,0.01,0.06,0,0,0,0.18,0.03,0,0,0,0,0,0,0,0,0
2021,88.31,11.34,0.02,0.03,0.01,0,0.01,0,0.23,0.04,0,0,0,0,0,0,0,0,0
2022,87.21,12.51,0.01,0,0,0,0,0.01,0.24,0.01,0,0,0,0,0,0,0,0,0
2023,85.13,14.58,0.01,0,0,0,0.01,0,0.27,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
