"Date","Windows","OS X","Linux","iOS","Unknown","Android","Playstation","Chrome OS","SunOS","OpenBSD","Other"
2009,89.69,8.88,0.85,0,0.21,0,0.09,0,0.01,0.25,0.01
2010,85.78,12.7,1.15,0.2,0.07,0,0.09,0,0,0,0.01
2011,83.1,14.53,0.82,1.33,0.09,0.04,0.08,0,0,0,0.01
2012,82.47,14.39,0.77,2.11,0.05,0.16,0.04,0,0,0,0.01
2013,81.21,17.34,1.28,0,0.03,0.14,0,0,0,0,0
2014,79.97,18.84,1.06,0,0.07,0.04,0,0.01,0,0,0
2015,78.71,19.13,1.76,0,0.36,0,0,0.02,0.01,0,0.01
2016,81.31,16.89,0.64,0,0.98,0,0,0.07,0.09,0,0.01
2017,74.94,23.05,1.6,0,0.36,0,0,0.01,0.01,0,0.01
2018,74.51,23.78,0.79,0,0.87,0,0,0.03,0,0,0.02
2019,76.07,21.79,0.53,0,1.6,0,0,0,0,0,0.01
2020,70.57,28.28,0.65,0,0.44,0,0,0.06,0,0,0
2021,76.11,22.34,1.06,0,0.44,0,0,0.04,0,0,0
2022,76.76,21.53,1.15,0,0.51,0,0,0.06,0,0,0
2023,77.63,16.63,3.95,0,1.43,0,0,0.31,0,0.01,0.03
