"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","Other"
2009,83.05,0.21,15.94,0.8,0,0,0,0
2010,94.24,1.42,1.7,2.6,0,0.04,0,0
2011,93.48,4.7,0.48,0.84,0,0.37,0.13,0
2012,94.56,3.66,0.01,0.53,0,1.05,0.18,0
2013,94.66,3.69,0.02,1.31,0,0,0.32,0
2014,92.42,6.66,0.04,0.72,0.05,0,0.11,0
2015,80.26,10.99,0.5,6.14,2.06,0,0,0.05
2016,80.32,5.52,5.59,8.16,0.26,0,0,0.16
2017,88.1,10.34,0.86,0.33,0.36,0,0,0
2018,89.2,7.75,2.45,0.21,0.39,0,0,0
2019,89.72,4.87,4.98,0.34,0.09,0,0,0
2020,87.69,9.14,2.81,0.35,0,0,0,0
2021,90.17,6.59,2.94,0.24,0.06,0,0,0
2022,76.72,23.04,0.25,0,0,0,0,0
2023,12.89,86.99,0,0.12,0,0,0,0
