"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","Other"
2009,98.75,0.75,0.13,0.34,0,0,0,0.02
2010,98.49,1.04,0.05,0.31,0,0.07,0,0.04
2011,97.74,1.47,0.04,0.31,0,0.36,0.06,0.03
2012,96.7,2.15,0.03,0.3,0,0.65,0.15,0.02
2013,96.37,2.91,0.04,0.41,0.01,0,0.25,0
2014,94.09,3.44,1.74,0.55,0.07,0,0.11,0
2015,91.16,5.12,2.96,0.69,0.08,0,0,0
2016,83.21,7.86,8.11,0.73,0.08,0,0,0
2017,85.61,10.17,3.49,0.66,0.07,0,0,0
2018,78.27,14.94,5.9,0.76,0.13,0,0,0
2019,72.21,19.2,7.57,0.75,0.26,0,0,0
2020,75.49,19.24,4.24,0.85,0.19,0,0,0
2021,77.55,5.76,14.46,1.83,0.39,0,0,0
2022,75.32,4.76,17.5,1.84,0.54,0,0,0.05
2023,70.48,4.5,22.68,1.78,0.51,0,0,0.04
