"Date","Android","Unknown","iOS","Series 40","Windows","Linux","Samsung","Nokia Unknown","SymbianOS","LG","BlackBerry OS","Sony Ericsson","Firefox OS","KaiOS","bada","Playstation","Other"
2012,14.7,24.55,12.53,5.29,0.91,0.23,9.47,0,18.83,1.8,1.29,9.33,0,0,0.6,0.16,0.32
2013,23.31,22.77,8.34,9.13,0.99,1.36,11,0.03,10.02,5.02,1.61,5.76,0,0,0.41,0.05,0.22
2014,40.54,23.64,6,7.39,1.92,0.72,6.22,0.31,4.7,3.35,1.74,2.98,0,0,0.32,0.07,0.11
2015,54.38,26.1,2.73,3.62,2.11,2.73,1.56,1.6,1.45,0.9,1.54,0.69,0.26,0,0.21,0.06,0.05
2016,60.58,23.89,1.93,2.24,2.06,3.67,0.81,2.11,0.64,0.52,0.88,0.26,0.22,0,0.1,0.06,0.02
2017,65.41,26.3,2.32,1.15,1.61,0.42,0.3,1.03,0.22,0.61,0.38,0.08,0.11,0,0.04,0.02,0.01
2018,75.67,18.28,3.03,0.66,1.17,0.24,0.16,0.13,0.16,0.23,0.18,0.02,0.04,0,0.01,0.02,0.01
2019,84.07,8.75,4.98,0.34,1.02,0.2,0.16,0.06,0.09,0.03,0.15,0,0.02,0.1,0.01,0.01,0.01
2020,87.8,4.94,6.43,0.06,0.28,0.12,0.08,0.03,0.02,0.01,0.07,0,0,0.15,0,0.01,0.01
2021,86.36,3.02,10.02,0.04,0.21,0.06,0.08,0.01,0.01,0,0.07,0,0,0.1,0,0.01,0.01
2022,84.19,2.18,13.33,0.04,0.06,0.02,0.07,0,0.01,0,0.04,0,0,0.06,0,0,0
2023,80.3,4.22,15.05,0.03,0.03,0.03,0.05,0,0,0,0.03,0,0,0.25,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
